Timestamp,GazeX,GazeY
459549343.4321,2448.56871778094,496.819732808032
459549354.7919,2443.81434038054,494.965240528716
459549368.7936,2443.52988949224,494.837939012395
459549376.7344,2444.03789583286,494.832175698894
459549388.0857,2447.77925543532,496.468870245627
459549404.1794,2448.8414750634,496.706614963593
459549426.3041,2448.61934884516,496.949696477318
459549435.4041,2445.67846022933,495.726177700553
459549457.1552,2442.33111669123,492.343043512394
459549468.3522,2407.07151948719,464.297585201705
459549476.7205,2350.56476659608,439.036825778328
459549502.6569,2329.55885064158,428.532031787655
459549518.3337,2318.94834246573,423.433141736909
459549521.1708,2280.95629911309,407.069007179088
459549535.9349,2217.39429730305,377.459219030876
459549543.1242,2172.12716732689,358.512490268925
459549554.7137,2170.38542318932,357.581812277278
459549567.9643,2170.87705334217,356.790443324306
459549580.8643,2170.74677363639,356.927721197819
459549587.8465,2169.58926665584,357.446544584039
459549601.8293,2161.92506532763,352.03654793475
459549609.8819,2139.70896486265,327.244177052014
459549620.9832,2133.84180193813,318.388370896617
459549634.7345,2132.2954526837,315.475485811345
459549658.4162,2126.94800304676,306.304257160719
459549667.124,2119.68821414405,292.493588484848
459549676.5218,2116.39922105178,283.507109855092
459549688.9624,2118.59894947344,279.399374442969
459549701.7656,2119.19438558545,277.864155861092
459549709.8846,2116.70517691463,272.843750266722
459549734.9231,2117.32354008329,269.471099630515
459549743.1613,2116.41812486881,268.848244416578
459549754.1761,2106.45740175834,258.200208151317
459549783.0143,2106.15015728435,256.391130404532
459549787.9825,2104.98821482662,253.910113662797
459549801.3535,2100.09060134323,247.208506501249
459549809.7211,2098.65714209394,244.829379137896
459549820.8732,2098.82788519223,244.507002388477
459549834.7767,2096.9295224628,241.602962917803
459549842.9431,2094.54698697284,239.587967189767
459549854.0109,2095.92769742428,240.226680302827
459549868.1543,2094.27453973698,238.824950716718
459549890.9714,2096.44262472569,234.217019704455
459549891.0002,2095.61340742667,235.548427282414
459549901.6605,2096.60775188322,235.387107146301
459549909.6008,2096.54949694358,234.396406287873
459549922.5938,2096.7146281691,232.158899661591
459549935.0249,2097.57848314981,228.995655466576
459549942.7192,2106.13845489923,229.409793512334
459549969.1971,2146.53902071214,230.750467854683
459549971.5229,2197.34983960434,232.960097048242
459549984.9839,2222.2805543363,232.832521856369
459549987.2013,2239.50312001341,231.564359089934
459550001.3172,2256.22298388128,228.533224825649
459550014.7753,2269.14928058396,227.959650588996
459550020.9241,2279.80993044069,227.295741781762
459550034.3432,2301.65582850071,226.338175142639
459550045.9927,2305.38840216191,226.925045625843
459550054.1016,2304.97183305572,226.942197655418
459550067.7256,2304.48477087698,228.797163680077
459550091.9569,2304.51434499088,227.724140837622
459550101.5851,2303.45176580758,227.39488366832
459550109.2619,2301.24004382713,227.010492545385
459550122.3731,2300.4277003025,226.652202713281
459550133.4928,2299.91184641819,224.692018909693
459550142.6851,2300.85955368724,224.091844181504
459550154.1157,2301.99208218264,222.346300343835
459550169.2234,2303.09612284921,221.90393799918
459550175.8866,2312.74130375836,219.947631661917
459550187.3413,2354.25285268116,211.855157948781
459550215.6056,2408.92001303254,202.857357773262
459550220.671,2440.00769949525,200.901510779866
459550233.3422,2451.34978424962,200.446662731585
459550245.7313,2464.35781956431,199.186588195293
459550253.866,2473.28339778905,197.607029932773
459550267.7428,2484.43043328724,198.321777023212
459550275.9497,2485.04973533169,198.759543716998
459550291.8286,2482.42673524306,199.268064145255
459550300.7626,2479.75201756908,197.761556028959
459550309.1868,2479.49786213055,197.669519821712
459550322.8829,2479.87816811383,198.138526511793
459550333.3676,2481.37539125363,201.294754942851
459550342.4449,2481.14580617551,201.177476978147
459550354.4351,2480.78320504768,202.051736736481
459550367.5593,2480.98802529052,200.616889188218
459550375.849,2480.53646847499,200.643985944966
459550400.9007,2482.95178860754,200.693442080025
459550416.1998,2506.72199553685,202.696205115775
459550420.4576,2538.0355296699,206.029580316708
459550434.4025,2559.1185607359,209.863329425577
459550442.0421,2566.84124973204,211.861291933155
459550453.7885,2568.36186777972,212.069126047282
459550467.4008,2574.43670568057,211.299911890975
459550477.5568,2587.8266232196,212.533554944987
459550487.1136,2592.43384336887,212.769154077198
459550500.8455,2590.54546292005,210.990554515847
459550524.034,2590.10428908465,210.487731555696
459550534.9431,2590.80624723577,206.666948484615
459550542.3046,2590.89869610504,205.596241404416
459550554.787,2590.17453272007,202.909008891583
459550567.2256,2601.19271078979,208.069198629993
459550575.7055,2618.27308182483,208.474068506009
459550587.1722,2641.77076030467,206.1077898726
459550616.5403,2652.32644665564,205.681014393553
459550620.5514,2670.76970601287,204.493085697406
459550634.309,2681.82560035454,203.309908692224
459550642.3087,2695.48920599585,202.448114596415
459550653.8011,2722.4205029044,200.167282470394
459550667.0514,2723.91494498569,203.769163777192
459550675.5732,2720.45512782759,206.026424310781
